Date,Open,High,Low,Close*,Adj Close**
1986-04-28,1622.6,1629.5,1619.7,1628.8,1628.8
1986-04-25,1615.5,1631.7,1611.8,1622.6,1622.6
1986-04-24,1632.7,1635.1,1603.7,1615.5,1615.5
1986-04-23,1649.7,1649.7,1632.7,1632.7,1632.7
1986-04-22,1668,1674.1,1659.6,1665.2,1665.2
1986-04-21,1680.2,1681.1,1667.6,1668,1668
1986-04-18,1680.9,1681,1674.6,1680.2,1680.2
1986-04-17,1675.1,1683.5,1675.1,1680.9,1680.9
1986-04-16,1654.8,1670.1,1648,1662,1662
1986-04-15,1663.4,1663.4,1651.7,1654.8,1654.8
1986-04-14,1690.6,1690.6,1683,1683.1,1683.1
1986-04-11,1690.3,1699.5,1685.5,1694.1,1694.1
1986-04-10,1668,1690.9,1668,1690.3,1690.3
1986-04-09,1675.7,1683.5,1657.1,1659,1659
1986-04-08,1688.5,1701.8,1671.5,1675.7,1675.7
1986-04-07,1703.5,1703.5,1685,1688.5,1688.5
1986-04-04,1713.2,1713.2,1701.4,1709.7,1709.7
1986-04-03,1713.5,1721.7,1713.5,1717.6,1717.6
1986-04-02,1684,1704.7,1674.1,1702.9,1702.9
1986-04-01,1671.1,1684.2,1671.1,1684,1684
1986-03-31,1668.8,1668.8,1668.8,1668.8,1668.8
1986-03-28,1668.8,1668.8,1668.8,1668.8,1668.8
1986-03-27,1659,1669,1659,1668.8,1668.8
1986-03-26,1647.6,1655.2,1647.6,1653.9,1653.9
1986-03-25,1654.6,1654.6,1632.4,1633.8,1633.8
1986-03-24,1680.9,1680.9,1662.2,1663.9,1663.9
1986-03-21,1690.1,1690.1,1683.1,1688.3,1688.3
1986-03-20,1670.3,1690.1,1670.3,1690.1,1690.1
1986-03-19,1653.9,1661.4,1653.9,1659.8,1659.8
1986-03-18,1622.6,1644.4,1616.2,1644.4,1644.4
1986-03-17,1624.4,1635.2,1622.6,1622.6,1622.6
1986-03-14,1617.6,1624.5,1617.6,1624.4,1624.4
1986-03-13,1621.6,1621.6,1610.9,1616.7,1616.7
1986-03-12,1616.5,1630.7,1616.5,1624.5,1624.5
1986-03-11,1577,1597.2,1577,1597.1,1597.1
1986-03-10,1573.8,1577,1568.1,1572.2,1572.2
1986-03-07,1566.1,1574,1564,1573.8,1573.8
1986-03-06,1569.1,1575.6,1566,1566.1,1566.1
1986-03-05,1559.2,1571.3,1559.2,1569.1,1569.1
1986-03-04,1534.9,1548.9,1529.8,1548.9,1548.9
1986-03-03,1543.9,1545.2,1534.4,1534.9,1534.9
1986-02-28,1549.5,1553.5,1537.8,1543.9,1543.9
1986-02-27,1545.3,1555.2,1545.3,1549.5,1549.5
1986-02-26,1527.7,1534.6,1518.8,1534.6,1534.6
1986-02-25,1533,1540.2,1526.8,1527.7,1527.7
1986-02-24,1524,1534.6,1524,1533,1533
1986-02-21,1497.3,1518,1497.3,1518,1518
1986-02-20,1491.4,1492.6,1487,1492.1,1492.1
1986-02-19,1491.9,1501.1,1488.8,1491.4,1491.4
1986-02-18,1480.4,1492,1480.4,1491.9,1491.9
1986-02-17,1477.9,1482.4,1467.1,1475.3,1475.3
1986-02-14,1473.8,1478.4,1473.8,1477.9,1477.9
1986-02-13,1470,1473.7,1466.2,1473.5,1473.5
1986-02-12,1453.9,1470.9,1452.3,1470,1470
1986-02-11,1461.5,1462.5,1449.3,1453.9,1453.9
1986-02-10,1452.5,1461.5,1452.5,1461.5,1461.5
1986-02-07,1431.8,1446,1431.8,1445,1445
1986-02-06,1424.1,1426.9,1422,1426.9,1426.9
1986-02-05,1431.6,1432,1423.8,1424.1,1424.1
1986-02-04,1425.1,1432,1421.5,1431.6,1431.6
1986-02-03,1433.4,1433.4,1424.4,1425.1,1425.1
1986-01-31,1429.1,1435.5,1427.4,1435,1435
1986-01-30,1421,1429.1,1420.1,1429.1,1429.1
1986-01-29,1426.3,1428.1,1418.2,1421,1421
1986-01-28,1414.1,1426.3,1414.1,1426.3,1426.3
1986-01-27,1396,1405,1396,1405,1405
1986-01-24,1383.8,1392,1383.8,1392,1392
1986-01-23,1388.9,1388.9,1369,1382.8,1382.8
1986-01-22,1378.1,1391.4,1373.9,1390.9,1390.9
1986-01-21,1378.3,1378.3,1366.1,1378.1,1378.1
1986-01-20,1391.1,1391.1,1378.2,1378.3,1378.3
1986-01-17,1394.5,1398.3,1394.2,1396,1396
1986-01-16,1392.6,1397.7,1392.6,1394.5,1394.5
1986-01-15,1371.4,1390.5,1371.4,1390.5,1390.5
1986-01-14,1380,1380,1365.7,1370.1,1370.1
1986-01-13,1394.5,1397.5,1382.8,1384.6,1384.6
